               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.048293,             0.01411,           0.0050697,             0.90929,             0.96503,             0.98672,             0.64138,            0.030822,           0.0093312,           0.0047518,           0.0039317,           0.0039317,            0.063332
                  37,            0.047815,            0.013503,            0.005751,             0.89735,              0.9963,             0.93725,               0.609,            0.032788,           0.0091872,           0.0052219,           0.0040309,           0.0040309,            0.062331
                  38,            0.045212,             0.01342,           0.0054771,             0.93945,             0.95408,             0.97458,             0.66191,            0.042744,           0.0090744,           0.0035881,           0.0041295,           0.0041295,             0.06133
                  39,            0.049708,            0.013416,           0.0051272,             0.92497,             0.99622,              0.9613,             0.67927,            0.038994,           0.0086536,           0.0057714,           0.0042275,           0.0042275,            0.060328
                  40,            0.048523,            0.013348,           0.0063611,             0.97744,             0.93622,             0.98835,             0.59933,            0.037539,           0.0091986,           0.0046976,           0.0043249,           0.0043249,            0.059325
                  41,             0.04698,            0.013957,           0.0045958,             0.79226,             0.98019,             0.86781,             0.54295,             0.04798,           0.0087132,           0.0036927,           0.0044217,           0.0044217,            0.058322
                  42,             0.04661,            0.012536,           0.0044231,             0.89691,             0.99632,              0.9245,             0.60781,            0.040221,           0.0090955,           0.0041342,           0.0045179,           0.0045179,            0.057318
                  43,             0.04736,            0.012644,           0.0045024,             0.93344,             0.98957,             0.97949,             0.60704,            0.041262,           0.0087405,           0.0040357,           0.0046133,           0.0046133,            0.056313
                  44,            0.045878,            0.013026,           0.0050003,             0.97616,             0.99632,             0.98371,             0.68202,             0.03169,           0.0085215,           0.0042366,           0.0047082,           0.0047082,            0.055308
                  45,            0.043474,            0.012138,            0.004669,             0.88244,             0.94412,             0.91754,             0.55504,            0.043349,           0.0087012,           0.0033301,           0.0048023,           0.0048023,            0.054302
                  46,            0.043442,            0.013219,           0.0044819,              0.9934,             0.99632,              0.9939,             0.73252,            0.026221,           0.0082771,           0.0037909,           0.0048958,           0.0048958,            0.053296
                  47,            0.043905,            0.012304,           0.0043183,             0.87395,             0.99285,             0.96152,             0.61582,            0.036054,            0.008375,           0.0036894,           0.0049885,           0.0049885,            0.052289
                  48,            0.044547,             0.01278,            0.005369,             0.98101,             0.91739,             0.98954,             0.70311,             0.03496,           0.0088293,           0.0046312,           0.0050805,           0.0050805,            0.051281
                  49,            0.040584,            0.013169,           0.0060766,             0.61563,             0.86972,               0.803,             0.52839,            0.034146,             0.02011,            0.019799,           0.0051718,           0.0051718,            0.050272
                  50,            0.041063,            0.013922,           0.0077144,              0.4172,             0.66888,             0.52969,             0.32147,            0.035763,            0.028116,            0.062097,           0.0052624,           0.0052624,            0.049262
                  51,            0.042332,            0.012622,           0.0054272,             0.72792,             0.67734,             0.71405,             0.46248,            0.036532,            0.019505,            0.016292,           0.0053522,           0.0053522,            0.048252
                  52,            0.041766,            0.013037,           0.0058796,             0.80539,             0.90462,              0.9295,             0.59294,            0.032486,            0.011421,           0.0069601,           0.0054412,           0.0054412,            0.047241
                  53,             0.04073,            0.013424,           0.0044695,              0.8066,             0.96958,             0.94301,              0.6743,            0.038146,            0.008876,           0.0037918,           0.0055294,           0.0055294,            0.046229
                  54,            0.040953,            0.013346,           0.0043438,             0.92121,             0.94989,             0.99049,             0.72508,            0.027039,           0.0081485,           0.0030922,           0.0056169,           0.0056169,            0.045217
                  55,            0.040377,             0.01256,           0.0030536,              0.9158,             0.98344,             0.98812,             0.70398,            0.034939,           0.0081049,           0.0030515,           0.0057035,           0.0057035,            0.044204
                  56,            0.041273,            0.012437,           0.0042973,             0.93722,              0.9939,             0.98082,             0.67501,            0.033289,           0.0080183,           0.0030396,           0.0057893,           0.0057893,            0.043189
                  57,            0.040007,            0.012106,           0.0040755,             0.81706,             0.80949,             0.86653,             0.56402,            0.033363,            0.012108,            0.012678,           0.0058743,           0.0058743,            0.042174
                  58,            0.040047,            0.013191,           0.0054288,             0.89578,             0.84357,             0.90744,             0.56407,            0.034801,            0.012033,           0.0074003,           0.0059585,           0.0059585,            0.041158
                  59,            0.039552,            0.013263,           0.0051803,             0.95917,             0.99631,             0.99088,             0.72333,            0.025299,           0.0083676,           0.0030656,           0.0060418,           0.0060418,            0.040142
                  60,            0.039067,              0.0127,           0.0039267,             0.94523,             0.94874,             0.98237,             0.56164,            0.035661,           0.0091345,           0.0058442,           0.0061242,           0.0061242,            0.039124
                  61,            0.037544,            0.012238,           0.0042975,             0.88327,             0.96935,             0.97238,             0.65846,            0.028395,             0.01214,           0.0044097,           0.0062057,           0.0062057,            0.038106
